,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas,sigPos
7,0.985003419921875,0.985003419921875,49254,0.0,746.0,0.98508,50,0,0,1.0,908.48,0.88,832.3333333333334,50,1,imm2,rnr,1,90,40.0,10.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,90,40.0,10.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,40.0,10.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,5.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,5.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,90,90.0,5.0,90.0
3,0.9985456297607422,0.9985456297607422,49940,0.0,60.0,0.9988,50,0,0,1.0,945.6,0.92,891.8571428571429,50,1,imm2,rnr,1,90,90.0,5.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,5.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,5.0,90.0
6,0.9994,0.9994,49970,0.0,30.0,0.9994,50,0,0,1.0,959.6,0.96,960.5384615384615,50,1,imm2,rnr,1,90,90.0,5.0,90.0
7,0.967158109375,0.967158109375,48364,0.0,1636.0,0.96728,50,0,0,1.0,930.0,0.88,861.0689655172414,50,1,imm2,rnr,1,90,90.0,5.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,5.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,5.0,90.0
0,0.9958851728515625,0.9958851728515625,49796,0.0,204.0,0.99592,50,0,0,1.0,994.84,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,5.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,190,15.0,5.0,10.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,5.0,10.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm2,rnr,1,190,15.0,5.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,5.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,5.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,5.0,10.0
7,0.9848865537109375,0.9848865537109375,49250,0.0,750.0,0.985,50,0,0,1.0,909.88,0.88,832.3333333333334,50,1,imm2,rnr,1,190,15.0,5.0,10.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,190,15.0,5.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,5.0,10.0
0,0.9910488955078125,0.9910488955078125,49554,0.0,446.0,0.99108,50,0,0,1.0,967.96,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,15.0,10.0
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,15.0,10.0
2,0.98955303125,0.98955303125,49478,0.0,522.0,0.98956,50,0,0,1.0,953.16,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,15.0,10.0
3,0.9985456297607422,0.9985456297607422,49940,0.0,60.0,0.9988,50,0,0,1.0,945.6,0.92,891.8571428571429,50,1,imm2,rnr,1,190,15.0,15.0,10.0
4,0.9942050703125,0.9942050703125,49712,0.0,288.0,0.99424,50,0,0,1.0,964.8,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,15.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,15.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,15.0,10.0
