,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost,sigP,sigMeas
0,0.9905967353515625,0.9711732699525123,49547,379.0,453.0,0.9834851823180293,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,876.1929824561404,50,3,KF,RW,1,30,15.0,3.0
1,0.9943281298828125,0.9748314998851103,49725,187.0,275.0,0.9907944288361528,50,0,1,0.9803921568627451,950.6470588235294,0.8823529411764706,876.1929824561404,50,3,KF,RW,1,30,15.0,3.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,15.0,3.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,30,15.0,3.0
4,0.96019294140625,0.96019294140625,48065,0.0,1935.0,0.9613,50,0,0,1.0,865.64,0.8,756.5757575757576,50,3,KF,RW,1,30,15.0,3.0
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,15.0,3.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,15.0,3.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,15.0,3.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,15.0,3.0
9,0.9729172265625,0.9729172265625,48669,0.0,1331.0,0.97338,50,0,0,1.0,911.62,0.88,693.4444444444445,50,3,KF,RW,1,30,15.0,3.0
