,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
0,0.33074000000000003,0.0037329571106094806,16537,32969.0,33463.0,0.19931540695922573,50,0,4380,0.011286681715575621,8.89390519187359,0.0,9.75268817204301,50,9,naive,rnr,1,80
1,0.28888,0.002852854039107249,14444,35198.0,35556.0,0.16953449611493226,50,0,5013,0.009875567845151097,7.659885443412996,0.0,8.365049634763064,50,9,naive,rnr,1,80
2,0.30955999999999995,0.0030360925853275796,15478,34497.0,34522.0,0.18317810099766857,50,0,5048,0.009807767752059632,7.583169870537466,0.0,8.475080538184574,50,9,naive,rnr,1,80
3,0.31792,0.0034347450302506482,15896,34072.0,34104.0,0.18907603006946427,50,0,4578,0.010803802938634399,8.477744165946413,0.0,9.390689941812136,50,9,naive,rnr,1,80
4,0.32826,0.003561076155348232,16413,33517.0,33587.0,0.19652286360860663,50,0,4559,0.010848340203948795,8.906921241050119,0.0,9.434056761268781,50,9,naive,rnr,1,80
5,0.30854000000000004,0.003110909457551926,15427,34465.0,34573.0,0.1826436985733736,50,0,4909,0.01008267795926598,8.067553942327082,0.0,8.70496894409938,50,9,naive,rnr,1,80
6,0.30344000000000004,0.0031860562788744223,15172,34711.0,34828.0,0.1791030680785258,50,0,4712,0.010499790004199917,8.138597228055438,0.0,9.050251256281408,50,9,naive,rnr,1,80
7,0.35396000000000005,0.004233971291866028,17698,32160.0,32302.0,0.2154089581304771,50,0,4130,0.011961722488038277,9.899043062200956,0.0,10.55001155001155,50,9,naive,rnr,1,80
8,0.29638,0.0031250527203711513,14819,35039.0,35181.0,0.17426122132198169,50,0,4692,0.010544074230282582,8.413749472796288,0.0,9.002000400080016,50,9,naive,rnr,1,80
9,0.3185,0.003933069893800939,15925,33975.0,34075.0,0.18963977374218519,50,0,3999,0.012348728081007657,9.959743146455915,0.0,10.795234725171031,50,9,naive,rnr,1,80
0,0.32232000000000005,0.003382161594963274,16116,33833.0,33884.0,0.1922393329595744,50,0,4715,0.01049317943336831,8.907240293809025,0.0,9.34340091021928,50,5,naive,rnr,1,40
1,0.28635999999999995,0.0028036028979831606,14318,35673.0,35682.0,0.167123831312082,50,0,5057,0.009790483649892304,7.984726845506168,0.0,8.626492106276473,50,5,naive,rnr,1,40
2,0.29656000000000005,0.002564510549982705,14828,35136.0,35172.0,0.17416838940048862,50,0,5732,0.008647526807333102,7.292632307160152,0.0,7.530967411704487,50,5,naive,rnr,1,40
3,0.32599999999999996,0.0027692830445124024,16300,33628.0,33700.0,0.19491079542736883,50,0,5836,0.008494733265375467,7.153075093442066,0.0,7.404773911581779,50,5,naive,rnr,1,40
4,0.35150000000000003,0.0035889319991831733,17575,32275.0,32425.0,0.2136128836219994,50,0,4847,0.010210332856851132,8.494792730243006,0.0,8.970089730807578,50,5,naive,rnr,1,40
5,0.34487999999999996,0.003267765776009096,17244,32741.0,32756.0,0.2084093738291778,50,0,5227,0.009475080538184575,8.25620617775251,0.0,8.366804046459348,50,5,naive,rnr,1,40
6,0.32314,0.003537770965622947,16157,33803.0,33843.0,0.19279739388804698,50,0,4517,0.010948105977665865,9.270199255528793,0.0,9.785159620362382,50,5,naive,rnr,1,40
7,0.32774000000000003,0.0034970123772940674,16387,32994.0,33613.0,0.1974480082897559,50,0,4636,0.010670081092616303,9.099231754161332,0.0,9.479983232026829,50,5,naive,rnr,1,40
8,0.30864,0.002976851851851852,15432,34448.0,34568.0,0.18273967411898445,50,0,5134,0.009645061728395061,7.841049382716049,0.0,8.487666034155598,50,5,naive,rnr,1,40
9,0.33799999999999997,0.0031636091351553725,16900,32931.0,33100.0,0.20378386851720104,50,0,5292,0.009359790340696368,7.705353800074878,0.0,8.201324990798675,50,5,naive,rnr,1,40
0,0.31943999999999995,0.0028409818569903947,15972,34028.0,34028.0,0.19007949731042034,50,0,5572,0.008893632159373888,7.849697616506582,0.0,7.852691218130311,50,7,naive,rnr,1,40
1,0.27884,0.0024641215977377166,13942,36058.0,36058.0,0.16200701852239188,50,0,5608,0.008837044892188053,7.784906327324143,0.0,7.812125484666901,50,7,naive,rnr,1,40
2,0.33042000000000005,0.0028832460732984293,16521,33478.0,33479.0,0.19790843096384675,50,0,5680,0.008726003490401396,7.5832460732984295,0.0,7.671522719389525,50,7,naive,rnr,1,40
3,0.32652000000000003,0.0030464638925172607,16326,33674.0,33674.0,0.19511437244544302,50,0,5309,0.009330098899048329,8.147415562604964,0.0,8.264406151565685,50,7,naive,rnr,1,40
4,0.32616,0.003209604408580988,16308,33692.0,33692.0,0.1948573340343163,50,0,5031,0.0098405825624877,8.797283999212754,0.0,8.792401096748923,50,7,naive,rnr,1,40
5,0.3004,0.0025045856261464066,15020,34876.0,34980.0,0.17696404166077573,50,0,5947,0.00833750208437552,7.1909287977322,0.0,7.294625082946251,50,7,naive,rnr,1,40
6,0.34436,0.003252361163581413,17218,32339.0,32782.0,0.20911111380998068,50,0,5244,0.009444654325651681,8.223082735171893,0.0,8.38790837401427,50,7,naive,rnr,1,40
7,0.34784000000000004,0.003616552297775005,17392,32591.0,32608.0,0.21057984526159024,50,0,4759,0.010397171969224371,9.177583697234352,0.0,9.336985734959686,50,7,naive,rnr,1,40
8,0.3175,0.002732358003442341,15875,34087.0,34125.0,0.188792560086577,50,0,5760,0.008605851979345954,7.542857142857143,0.0,7.56898029134533,50,7,naive,rnr,1,40
9,0.34758,0.003226099870057546,17379,32619.0,32621.0,0.21035112988537746,50,0,5337,0.009281603861147207,8.069426396881381,0.0,8.231905465288035,50,7,naive,rnr,1,40
0,0.35219999999999996,0.0032732342007434946,17610,32390.0,32390.0,0.21373953149654085,50,0,5330,0.00929368029739777,8.291263940520446,0.0,8.271277582050807,50,9,naive,rnr,1,40
1,0.30066000000000004,0.002615799547590047,15033,34966.0,34967.0,0.17692959536755878,50,0,5697,0.008700191404210893,7.602923264311815,0.0,7.665511265164644,50,9,naive,rnr,1,40
2,0.32111999999999996,0.0027324710687542547,16056,33944.0,33944.0,0.19127037072333936,50,0,5826,0.00850918992511913,7.507317903335602,0.0,7.4947332653754675,50,9,naive,rnr,1,40
3,0.32532000000000005,0.0029813049853372434,16266,33734.0,33734.0,0.1942580074999403,50,0,5406,0.009164222873900294,8.157991202346041,0.0,8.137426900584796,50,9,naive,rnr,1,40
4,0.33646,0.0031061669128508123,16823,33177.0,33177.0,0.2022554311889104,50,0,5366,0.009231905465288036,8.22341211225997,0.0,8.203018590097551,50,9,naive,rnr,1,40
5,0.31679999999999997,0.002825544059935783,15840,34160.0,34160.0,0.188212927756654,50,0,5556,0.008919015340706386,7.903317873706743,0.0,7.903133903133903,50,9,naive,rnr,1,40
6,0.30626,0.002760093727469358,15313,34687.0,34687.0,0.18081877974187302,50,0,5498,0.009012256669069935,7.968997837058399,0.0,7.976660682226212,50,9,naive,rnr,1,40
7,0.36024,0.0038104506029193993,18012,31988.0,31988.0,0.21969068644191833,50,0,4677,0.010577533319229955,9.457372540723503,0.0,9.532968190436065,50,9,naive,rnr,1,40
8,0.30384,0.002774794520547945,15192,34795.0,34808.0,0.1791615071643375,50,0,5425,0.0091324200913242,8.034155251141552,0.0,8.082652134423252,50,9,naive,rnr,1,40
9,0.33314,0.0033828188464662874,16657,33342.0,33343.0,0.19986321422572054,50,0,4874,0.010154346060113728,8.98476848090983,0.0,9.096930533117932,50,9,naive,rnr,1,40
0,0.30508,0.0027031720715931244,15254,34746.0,34746.0,0.17999669600925117,50,0,5593,0.00886053517632465,7.847953216374269,0.0,7.837044892188052,50,11,naive,rnr,1,40
1,0.32942000000000005,0.0028486682808716705,16471,33529.0,33529.0,0.1971890002274659,50,0,5732,0.008647526807333102,7.632998962296783,0.0,7.62663906142167,50,11,naive,rnr,1,40
2,0.34041999999999994,0.0033283144309737976,17021,32978.0,32979.0,0.20512666007857505,50,0,5064,0.009777082518576457,8.728001564333203,0.0,8.750390015600624,50,11,naive,rnr,1,40
3,0.32264000000000004,0.002776592082616179,16132,33868.0,33868.0,0.19234988314971146,50,0,5760,0.008605851979345954,7.590877796901894,0.0,7.59106529209622,50,11,naive,rnr,1,40
4,0.31000000000000005,0.002476038338658147,15500,34500.0,34500.0,0.1834319526627219,50,0,6210,0.007987220447284345,6.963418530351437,0.0,6.957981855801369,50,11,naive,rnr,1,40
5,0.32196,0.003054069436539556,16098,33902.0,33902.0,0.19186670162808991,50,0,5221,0.00948586605957124,8.472396129766647,0.0,8.46611132146914,50,11,naive,rnr,1,40
6,0.32858,0.002857217391304348,16429,33571.0,33571.0,0.19658733292649364,50,0,5700,0.008695652173913044,7.658086956521739,0.0,7.674531575294934,50,11,naive,rnr,1,40
7,0.35966,0.003272611464968153,17983,32017.0,32017.0,0.21925942182718217,50,0,5445,0.009099181073703366,8.0533212010919,0.0,8.0711175616836,50,11,naive,rnr,1,40
8,0.34053999999999995,0.0030712481962481965,17027,32973.0,32973.0,0.20521133380738313,50,0,5494,0.009018759018759018,7.982683982683983,0.0,7.9879561387740425,50,11,naive,rnr,1,40
9,0.34714,0.003203580657069029,17357,32643.0,32643.0,0.21002383746959816,50,0,5368,0.009228497600590625,8.223145071982282,0.0,8.211495946941783,50,11,naive,rnr,1,40
0,0.29978000000000005,0.0026929572403880703,14989,35011.0,35011.0,0.1763183588006258,50,0,5516,0.008983111749910169,7.464247215235358,0.0,7.762705923589205,50,11,naive,rnr,1,80
1,0.32362,0.002851780049347903,16181,33814.0,33819.0,0.19305843892428473,50,0,5624,0.008812125484666901,7.330278463165316,0.0,7.547008547008547,50,11,naive,rnr,1,80
2,0.32933999999999997,0.003269207861822513,16467,33516.0,33533.0,0.19717179941568083,50,0,4987,0.009926543577526306,8.097875719674409,0.0,8.656237929702588,50,11,naive,rnr,1,80
3,0.31055999999999995,0.00271515999300577,15528,34134.0,34472.0,0.18456272137304774,50,0,5669,0.008742787200559538,6.928658856443434,0.0,7.520790729379686,50,11,naive,rnr,1,80
4,0.30147999999999997,0.002452652131467621,15074,34879.0,34926.0,0.1775939867340567,50,0,6096,0.008135372600065083,6.6975268467295805,0.0,6.887679444707367,50,11,naive,rnr,1,80
5,0.31616,0.003051737451737452,15808,34102.0,34192.0,0.18796223633207296,50,0,5130,0.009652509652509652,7.944594594594594,0.0,8.366804046459348,50,11,naive,rnr,1,80
6,0.31921999999999995,0.0028174757281553397,15961,33996.0,34039.0,0.19002095337873232,50,0,5615,0.0088261253309797,7.095145631067961,0.0,7.598452278589853,50,11,naive,rnr,1,80
7,0.3497,0.0032260147601476017,17485,32513.0,32515.0,0.21190600269048512,50,0,5370,0.00922509225092251,7.682472324723247,0.0,8.002520705797624,50,11,naive,rnr,1,80
8,0.31438,0.0028763037511436414,15719,33662.0,34281.0,0.1878869737754297,50,0,5415,0.009149130832570906,7.25288197621226,0.0,7.912655971479501,50,11,naive,rnr,1,80
9,0.33696000000000004,0.003147393984681487,16848,32924.0,33152.0,0.20317399064203367,50,0,5303,0.009340556697179151,7.7360358677377175,0.0,8.13575735428467,50,11,naive,rnr,1,80
0,0.9459176328125,0.9459176328125,189232,0.0,10768.0,0.94616,200,0,0,1.0,805.31,0.75,750.8796992481203,200,1,naive,rnr,1,200
1,0.9401681875,0.9401681875,188086,0.0,11914.0,0.94043,200,0,0,1.0,806.24,0.715,723.6376811594203,200,1,naive,rnr,1,200
2,0.9513532109375,0.9513532109375,190300,0.0,9700.0,0.9515,200,0,0,1.0,809.84,0.745,739.7407407407408,200,1,naive,rnr,1,200
3,0.936670140625,0.936670140625,187364,0.0,12636.0,0.93682,200,0,0,1.0,771.18,0.69,703.2253521126761,200,1,naive,rnr,1,200
4,0.94200537109375,0.94200537109375,188429,0.0,11571.0,0.942145,200,0,0,1.0,831.72,0.755,768.2307692307693,200,1,naive,rnr,1,200
5,0.9452470078125,0.9452470078125,189102,0.0,10898.0,0.94551,200,0,0,1.0,773.83,0.695,698.3006993006993,200,1,naive,rnr,1,200
6,0.94876494140625,0.94876494140625,189804,0.0,10196.0,0.94902,200,0,0,1.0,793.465,0.735,726.2727272727273,200,1,naive,rnr,1,200
7,0.9453657421875,0.9453657421875,189124,0.0,10876.0,0.94562,200,0,0,1.0,856.245,0.77,786.4015748031496,200,1,naive,rnr,1,200
8,0.9627588828125,0.9627588828125,192572,0.0,7428.0,0.96286,200,0,0,1.0,825.765,0.775,745.2686567164179,200,1,naive,rnr,1,200
9,0.947387515625,0.947387515625,189513,0.0,10487.0,0.947565,200,0,0,1.0,762.17,0.695,688.6551724137931,200,1,naive,rnr,1,200
0,0.8861195,0.8861195,177236,0.0,22764.0,0.88618,200,0,0,1.0,516.78,0.43,518.4805194805194,200,3,naive,rnr,1,200
1,0.9127544765625,0.9127544765625,182555,0.0,17445.0,0.912775,200,0,0,1.0,545.18,0.465,532.3333333333334,200,3,naive,rnr,1,200
2,0.898905625,0.898905625,179798,0.0,20202.0,0.89899,200,0,0,1.0,522.335,0.46,472.93364928909955,200,3,naive,rnr,1,200
3,0.927865078125,0.927865078125,185596,0.0,14404.0,0.92798,200,0,0,1.0,548.165,0.475,530.9148936170212,200,3,naive,rnr,1,200
4,0.89727603125,0.89727603125,179468,0.0,20532.0,0.89734,200,0,0,1.0,542.685,0.465,518.4805194805194,200,3,naive,rnr,1,200
5,0.933534765625,0.933534765625,186721,0.0,13279.0,0.933605,200,0,0,1.0,587.175,0.53,551.4861878453039,200,3,naive,rnr,1,200
6,0.930113921875,0.930113921875,186053,0.0,13947.0,0.930265,200,0,0,1.0,599.655,0.54,590.7159763313609,200,3,naive,rnr,1,200
7,0.91480915625,0.91480915625,183012,0.0,16988.0,0.91506,200,0,0,1.0,516.09,0.45,532.3333333333334,200,3,naive,rnr,1,200
8,0.923418828125,0.923418828125,184701,0.0,15299.0,0.923505,200,0,0,1.0,516.005,0.465,484.43689320388347,200,3,naive,rnr,1,200
9,0.9225142890625,0.9225142890625,184517,0.0,15483.0,0.922585,200,0,0,1.0,571.915,0.515,528.1005291005291,200,3,naive,rnr,1,200
0,0.8994636953125,0.8994636953125,179917,0.0,20083.0,0.899585,200,0,0,1.0,427.915,0.35,438.56043956043953,200,5,naive,rnr,1,200
1,0.901118,0.901118,180258,0.0,19742.0,0.90129,200,0,0,1.0,373.45,0.33,375.6478342749529,200,5,naive,rnr,1,200
2,0.888202640625,0.888202640625,177649,0.0,22351.0,0.888245,200,0,0,1.0,349.67,0.285,412.22314049586777,200,5,naive,rnr,1,200
3,0.8831145234375,0.8831145234375,176653,0.0,23347.0,0.883265,200,0,0,1.0,417.835,0.365,420.05263157894734,200,5,naive,rnr,1,200
4,0.894100140625,0.894100140625,178829,0.0,21171.0,0.894145,200,0,0,1.0,390.0,0.32,420.05263157894734,200,5,naive,rnr,1,200
5,0.8443704375,0.8443704375,168886,0.0,31114.0,0.84443,200,0,0,1.0,336.195,0.24,398.2015968063872,200,5,naive,rnr,1,200
6,0.9109520625,0.9109520625,182200,0.0,17800.0,0.911,200,0,0,1.0,358.115,0.32,420.9409282700422,200,5,naive,rnr,1,200
7,0.8998114140625,0.8998114140625,179970,0.0,20030.0,0.89985,200,0,0,1.0,352.56,0.295,385.1003861003861,200,5,naive,rnr,1,200
8,0.899328890625,0.899328890625,179876,0.0,20124.0,0.89938,200,0,0,1.0,356.625,0.3,393.47731755424064,200,5,naive,rnr,1,200
9,0.876632796875,0.876632796875,175328,0.0,24672.0,0.87664,200,0,0,1.0,370.905,0.31,360.01083032490976,200,5,naive,rnr,1,200
0,0.8861195,0.8861195,177236,0.0,22764.0,0.88618,200,0,0,1.0,516.78,0.43,518.4805194805194,200,3,naive,rnr,1,120
1,0.9127544765625,0.9127544765625,182555,0.0,17445.0,0.912775,200,0,0,1.0,545.18,0.465,532.3333333333334,200,3,naive,rnr,1,120
2,0.898905625,0.898905625,179798,0.0,20202.0,0.89899,200,0,0,1.0,522.335,0.46,472.93364928909955,200,3,naive,rnr,1,120
3,0.927865078125,0.927865078125,185596,0.0,14404.0,0.92798,200,0,0,1.0,548.165,0.475,530.9148936170212,200,3,naive,rnr,1,120
4,0.89727603125,0.89727603125,179468,0.0,20532.0,0.89734,200,0,0,1.0,542.685,0.465,518.4805194805194,200,3,naive,rnr,1,120
5,0.933534765625,0.933534765625,186721,0.0,13279.0,0.933605,200,0,0,1.0,587.175,0.53,551.4861878453039,200,3,naive,rnr,1,120
6,0.930113921875,0.930113921875,186053,0.0,13947.0,0.930265,200,0,0,1.0,599.655,0.54,590.7159763313609,200,3,naive,rnr,1,120
7,0.91480915625,0.91480915625,183012,0.0,16988.0,0.91506,200,0,0,1.0,516.09,0.45,532.3333333333334,200,3,naive,rnr,1,120
8,0.923418828125,0.923418828125,184701,0.0,15299.0,0.923505,200,0,0,1.0,516.005,0.465,484.43689320388347,200,3,naive,rnr,1,120
9,0.9225142890625,0.9225142890625,184517,0.0,15483.0,0.922585,200,0,0,1.0,571.915,0.515,528.1005291005291,200,3,naive,rnr,1,120
0,0.82802446875,0.7263372532894737,165611,3965.0,34389.0,0.8119579339592577,200,0,28,0.8771929824561403,256.79824561403507,0.17105263157894737,308.1190108191654,200,11,naive,rnr,1,120
1,0.86681890625,0.6852323369565217,173365,2020.0,26635.0,0.8581576081576081,200,0,53,0.7905138339920948,176.3201581027668,0.11857707509881422,287.6002886002886,200,11,naive,rnr,1,120
2,0.856906828125,0.8279293025362319,171395,1936.0,28605.0,0.8487590127565169,200,0,7,0.966183574879227,253.68599033816426,0.1642512077294686,331.22591362126246,200,11,naive,rnr,1,120
3,0.847475703125,0.7995053803066038,169499,2574.0,30501.0,0.8367263321057984,200,0,12,0.9433962264150944,276.5330188679245,0.19339622641509435,335.7003367003367,200,11,naive,rnr,1,120
4,0.856290359375,0.7511318941885965,171263,2272.0,28737.0,0.8466965274481886,200,0,28,0.8771929824561403,190.2719298245614,0.12719298245614036,304.3435114503817,200,11,naive,rnr,1,120
5,0.8565086875,0.6770819664031621,171307,4869.0,28693.0,0.8361782407294417,200,0,53,0.7905138339920948,211.32411067193675,0.1383399209486166,297.06259314456037,200,11,naive,rnr,1,120
6,0.8419099375,0.7550761771300448,168395,2926.0,31605.0,0.829834520958379,200,0,23,0.8968609865470852,179.08520179372198,0.11210762331838565,298.85007496251876,200,11,naive,rnr,1,120
7,0.8529564375,0.8162262559808613,170596,1399.0,29404.0,0.8470548513150512,200,0,9,0.9569377990430622,217.755980861244,0.14832535885167464,324.7328990228013,200,11,naive,rnr,1,120
8,0.88268634375,0.8288134683098591,176544,957.0,23456.0,0.8785162995068597,200,0,13,0.9389671361502347,203.83098591549296,0.14084507042253522,326.8688524590164,200,11,naive,rnr,1,120
9,0.8444413125,0.7440011563876652,168892,3040.0,31108.0,0.8318163908589441,200,0,27,0.8810572687224669,183.71806167400882,0.10572687224669604,272.972602739726,200,11,naive,rnr,1,120
0,0.8220652187499999,0.82206521875,164414,0.0,35586.0,0.82207,200,0,0,1.0,252.34,0.18,288.4356005788712,200,11,naive,rnr,1,200
1,0.85354325,0.85354325,170713,0.0,29287.0,0.853565,200,0,0,1.0,195.365,0.13,277.1641168289291,200,11,naive,rnr,1,200
2,0.84635359375,0.84635359375,169282,0.0,30718.0,0.84641,200,0,0,1.0,249.675,0.16,299.3003003003003,200,11,naive,rnr,1,200
3,0.831664609375,0.831664609375,166339,0.0,33661.0,0.831695,200,0,0,1.0,237.265,0.175,301.571860816944,200,11,naive,rnr,1,200
4,0.84704584375,0.84704584375,169416,0.0,30584.0,0.84708,200,0,0,1.0,198.01,0.15,277.9400278940028,200,11,naive,rnr,1,200
5,0.8451761875,0.8451761875,169042,0.0,30958.0,0.84521,200,0,0,1.0,233.225,0.19,281.88543140028287,200,11,naive,rnr,1,200
6,0.81979246875,0.81979246875,163972,0.0,36028.0,0.81986,200,0,0,1.0,166.105,0.105,273.72527472527474,200,11,naive,rnr,1,200
7,0.8380114375000001,0.8380114375,167607,0.0,32393.0,0.838035,200,0,0,1.0,184.36,0.12,295.7359050445104,200,11,naive,rnr,1,200
8,0.86051634375,0.86051634375,172110,0.0,27890.0,0.86055,200,0,0,1.0,184.13,0.125,305.2787136294028,200,11,naive,rnr,1,200
9,0.8418135,0.8418135,168365,0.0,31635.0,0.841825,200,0,0,1.0,177.24,0.115,258.0673575129534,200,11,naive,rnr,1,200
0,0.8745861953125,0.8745861953125,174927,0.0,25073.0,0.874635,200,0,0,1.0,321.375,0.265,337.9830508474576,200,7,naive,rnr,1,200
1,0.872800703125,0.872800703125,174564,0.0,25436.0,0.87282,200,0,0,1.0,344.245,0.26,358.71223021582733,200,7,naive,rnr,1,200
2,0.8551154375,0.8551154375,171033,0.0,28967.0,0.855165,200,0,0,1.0,315.395,0.275,343.82758620689657,200,7,naive,rnr,1,200
3,0.9093863125,0.9093863125,181890,0.0,18110.0,0.90945,200,0,0,1.0,330.1,0.28,374.234521575985,200,7,naive,rnr,1,200
4,0.863460515625,0.863460515625,172696,0.0,27304.0,0.86348,200,0,0,1.0,314.425,0.26,340.88034188034186,200,7,naive,rnr,1,200
5,0.86339240625,0.86339240625,172681,0.0,27319.0,0.863405,200,0,0,1.0,299.335,0.255,338.5585738539898,200,7,naive,rnr,1,200
6,0.8906442265625,0.8906442265625,178132,0.0,21868.0,0.89066,200,0,0,1.0,292.37,0.235,337.9830508474576,200,7,naive,rnr,1,200
7,0.87682390625,0.87682390625,175380,0.0,24620.0,0.8769,200,0,0,1.0,258.655,0.205,309.07751937984494,200,7,naive,rnr,1,200
8,0.829749515625,0.829749515625,165954,0.0,34046.0,0.82977,200,0,0,1.0,262.795,0.18,293.9852507374631,200,7,naive,rnr,1,200
9,0.8775429453125,0.8775429453125,175526,0.0,24474.0,0.87763,200,0,0,1.0,292.015,0.235,334.5704697986577,200,7,naive,rnr,1,200
0,0.8861195,0.8861195,177236,0.0,22764.0,0.88618,200,0,0,1.0,516.78,0.43,518.4805194805194,200,3,naive,rnr,1,80
1,0.9127544765625,0.9127544765625,182555,0.0,17445.0,0.912775,200,0,0,1.0,545.18,0.465,532.3333333333334,200,3,naive,rnr,1,80
2,0.898905625,0.898905625,179798,0.0,20202.0,0.89899,200,0,0,1.0,522.335,0.46,472.93364928909955,200,3,naive,rnr,1,80
3,0.927865078125,0.927865078125,185596,0.0,14404.0,0.92798,200,0,0,1.0,548.165,0.475,530.9148936170212,200,3,naive,rnr,1,80
4,0.89727603125,0.89727603125,179468,0.0,20532.0,0.89734,200,0,0,1.0,542.685,0.465,518.4805194805194,200,3,naive,rnr,1,80
5,0.933534765625,0.933534765625,186721,0.0,13279.0,0.933605,200,0,0,1.0,587.175,0.53,551.4861878453039,200,3,naive,rnr,1,80
6,0.930113921875,0.930113921875,186053,0.0,13947.0,0.930265,200,0,0,1.0,599.655,0.54,590.7159763313609,200,3,naive,rnr,1,80
7,0.91480915625,0.91480915625,183012,0.0,16988.0,0.91506,200,0,0,1.0,516.09,0.45,532.3333333333334,200,3,naive,rnr,1,80
8,0.923418828125,0.923418828125,184701,0.0,15299.0,0.923505,200,0,0,1.0,516.005,0.465,484.43689320388347,200,3,naive,rnr,1,80
9,0.9225142890625,0.9225142890625,184517,0.0,15483.0,0.922585,200,0,0,1.0,571.915,0.515,528.1005291005291,200,3,naive,rnr,1,80
0,0.9459176328125,0.9459176328125,189232,0.0,10768.0,0.94616,200,0,0,1.0,805.31,0.75,750.8796992481203,200,1,naive,rnr,1,80
1,0.9401681875,0.9401681875,188086,0.0,11914.0,0.94043,200,0,0,1.0,806.24,0.715,723.6376811594203,200,1,naive,rnr,1,80
2,0.9513532109375,0.9513532109375,190300,0.0,9700.0,0.9515,200,0,0,1.0,809.84,0.745,739.7407407407408,200,1,naive,rnr,1,80
3,0.936670140625,0.936670140625,187364,0.0,12636.0,0.93682,200,0,0,1.0,771.18,0.69,703.2253521126761,200,1,naive,rnr,1,80
4,0.94200537109375,0.94200537109375,188429,0.0,11571.0,0.942145,200,0,0,1.0,831.72,0.755,768.2307692307693,200,1,naive,rnr,1,80
5,0.9452470078125,0.9452470078125,189102,0.0,10898.0,0.94551,200,0,0,1.0,773.83,0.695,698.3006993006993,200,1,naive,rnr,1,80
6,0.94876494140625,0.94876494140625,189804,0.0,10196.0,0.94902,200,0,0,1.0,793.465,0.735,726.2727272727273,200,1,naive,rnr,1,80
7,0.9453657421875,0.9453657421875,189124,0.0,10876.0,0.94562,200,0,0,1.0,856.245,0.77,786.4015748031496,200,1,naive,rnr,1,80
8,0.9627588828125,0.9627588828125,192572,0.0,7428.0,0.96286,200,0,0,1.0,825.765,0.775,745.2686567164179,200,1,naive,rnr,1,80
9,0.947387515625,0.947387515625,189513,0.0,10487.0,0.947565,200,0,0,1.0,762.17,0.695,688.6551724137931,200,1,naive,rnr,1,80
0,0.8559450937499999,0.85594509375,171190,0.0,28810.0,0.85595,200,0,0,1.0,189.92,0.135,285.5329512893983,200,9,naive,rnr,1,200
1,0.863085,0.863085,172617,0.0,27383.0,0.863085,200,0,0,1.0,250.895,0.195,302.951367781155,200,9,naive,rnr,1,200
2,0.81763615625,0.81763615625,163533,0.0,36467.0,0.817665,200,0,0,1.0,197.72,0.155,270.37042062415196,200,9,naive,rnr,1,200
3,0.87079896875,0.87079896875,174172,0.0,25828.0,0.87086,200,0,0,1.0,285.215,0.225,343.2340791738382,200,9,naive,rnr,1,200
4,0.8335374531249999,0.833537453125,166715,0.0,33285.0,0.833575,200,0,0,1.0,259.115,0.2,303.41400304414003,200,9,naive,rnr,1,200
5,0.8746304765625,0.8746304765625,174934,0.0,25066.0,0.87467,200,0,0,1.0,236.735,0.2,306.21966205837174,200,9,naive,rnr,1,200
6,0.86328290625,0.86328290625,172662,0.0,27338.0,0.86331,200,0,0,1.0,237.095,0.19,320.54340836012864,200,9,naive,rnr,1,200
7,0.8113213125000001,0.8113213125,162274,0.0,37726.0,0.81137,200,0,0,1.0,159.445,0.11,242.605359317905,200,9,naive,rnr,1,200
8,0.832317328125,0.832317328125,166469,0.0,33531.0,0.832345,200,0,0,1.0,252.545,0.195,281.08744710860367,200,9,naive,rnr,1,200
9,0.844675796875,0.844675796875,168944,0.0,31056.0,0.84472,200,0,0,1.0,231.275,0.165,307.1664098613251,200,9,naive,rnr,1,200
0,0.8745861953125,0.8745861953125,174927,0.0,25073.0,0.874635,200,0,0,1.0,321.375,0.265,337.9830508474576,200,7,naive,rnr,1,120
1,0.872815703125,0.872815703125,174567,0.0,25433.0,0.872835,200,0,0,1.0,344.42,0.26,362.6363636363636,200,7,naive,rnr,1,120
2,0.8551254375,0.8551254375,171035,0.0,28965.0,0.855175,200,0,0,1.0,315.26,0.275,342.64261168384877,200,7,naive,rnr,1,120
3,0.9093863125,0.9093863125,181890,0.0,18110.0,0.90945,200,0,0,1.0,330.05,0.28,374.234521575985,200,7,naive,rnr,1,120
4,0.863460515625,0.863460515625,172696,0.0,27304.0,0.86348,200,0,0,1.0,314.425,0.26,340.88034188034186,200,7,naive,rnr,1,120
5,0.86339240625,0.86339240625,172681,0.0,27319.0,0.863405,200,0,0,1.0,299.335,0.255,338.5585738539898,200,7,naive,rnr,1,120
6,0.8917442265625,0.8917442265625,178352,0.0,21648.0,0.89176,200,0,0,1.0,296.71,0.24,340.29692832764505,200,7,naive,rnr,1,120
7,0.87683390625,0.87683390625,175382,0.0,24618.0,0.87691,200,0,0,1.0,258.655,0.205,311.01248049922,200,7,naive,rnr,1,120
8,0.833702859375,0.833702859375,166747,0.0,33253.0,0.833735,200,0,0,1.0,260.95,0.18,294.4209748892171,200,7,naive,rnr,1,120
9,0.8785279453125,0.8785279453125,175723,0.0,24277.0,0.878615,200,0,0,1.0,294.255,0.235,335.1344537815126,200,7,naive,rnr,1,120
