,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
1,0.96658,0.96658,48329,0.0,1671.0,0.96658,50,0,0,1.0,699.96,0.68,674.6756756756756,50,5,naive,rnr,1,200
2,0.99692,0.99692,49846,0.0,154.0,0.99692,50,0,0,1.0,882.08,0.88,891.8571428571429,50,5,naive,rnr,1,200
3,0.98252,0.98252,49126,0.0,874.0,0.98252,50,0,0,1.0,816.48,0.8,832.3333333333334,50,5,naive,rnr,1,200
4,0.95042,0.95042,47521,0.0,2479.0,0.95042,50,0,0,1.0,611.04,0.58,554.5555555555555,50,5,naive,rnr,1,200
5,0.98258,0.98258,49129,0.0,871.0,0.98258,50,0,0,1.0,795.98,0.78,780.25,50,5,naive,rnr,1,200
6,0.97886,0.97886,48943,0.0,1057.0,0.97886,50,0,0,1.0,831.56,0.78,805.4516129032259,50,5,naive,rnr,1,200
7,0.94262,0.94262,47131,0.0,2869.0,0.94262,50,0,0,1.0,681.08,0.64,674.6756756756756,50,5,naive,rnr,1,200
8,0.940575140625,0.940575140625,47034,0.0,2966.0,0.94068,50,0,0,1.0,712.52,0.64,674.6756756756756,50,5,naive,rnr,1,200
9,0.9792,0.9792,48960,0.0,1040.0,0.9792,50,0,0,1.0,732.14,0.72,674.6756756756756,50,5,naive,rnr,1,200
0,0.9766,0.9766,48830,0.0,1170.0,0.9766,50,0,0,1.0,842.0,0.82,832.3333333333334,50,3,naive,rnr,1,200
1,0.9682510390625,0.9682510390625,48418,0.0,1582.0,0.96836,50,0,0,1.0,873.58,0.82,832.3333333333334,50,3,naive,rnr,1,200
2,0.9895889296875,0.9895889296875,49480,0.0,520.0,0.9896,50,0,0,1.0,849.44,0.84,861.0689655172414,50,3,naive,rnr,1,200
3,0.97328,0.97328,48664,0.0,1336.0,0.97328,50,0,0,1.0,852.46,0.78,805.4516129032259,50,3,naive,rnr,1,200
4,0.9788,0.9788,48940,0.0,1060.0,0.9788,50,0,0,1.0,901.9,0.86,832.3333333333334,50,3,naive,rnr,1,200
