,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas,sigPos
0,0.995898732421875,0.995898732421875,49796,0.0,204.0,0.99592,50,0,0,1.0,994.88,0.96,960.5384615384615,50,1,imm3,rnr,1,50,15.0,15.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,10.0
2,0.99771303125,0.99771303125,49886,0.0,114.0,0.99772,50,0,0,1.0,961.32,0.96,960.5384615384615,50,1,imm3,rnr,1,50,15.0,15.0,10.0
3,0.9985456297607422,0.9985456297607422,49940,0.0,60.0,0.9988,50,0,0,1.0,945.6,0.92,891.8571428571429,50,1,imm3,rnr,1,50,15.0,15.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,10.0
7,0.9667053359375,0.9667053359375,48348,0.0,1652.0,0.96696,50,0,0,1.0,891.68,0.84,805.4516129032259,50,1,imm3,rnr,1,50,15.0,15.0,10.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,10.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,5.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,5.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,40.0,5.0,90.0
3,0.9985456297607422,0.9985456297607422,49940,0.0,60.0,0.9988,50,0,0,1.0,945.6,0.92,891.8571428571429,50,1,imm3,rnr,1,50,40.0,5.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,5.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,5.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,5.0,90.0
7,0.9947212260742188,0.9947212260742188,49738,0.0,262.0,0.99476,50,0,0,1.0,949.28,0.92,891.8571428571429,50,1,imm3,rnr,1,50,40.0,5.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,5.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,5.0,90.0
0,0.9958851728515625,0.9958851728515625,49796,0.0,204.0,0.99592,50,0,0,1.0,994.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,15.0,15.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,90.0
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,90.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,90.0
7,0.9848865537109375,0.9848865537109375,49250,0.0,750.0,0.985,50,0,0,1.0,909.88,0.88,832.3333333333334,50,1,imm3,rnr,1,50,15.0,15.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,5.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,5.0,10.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,15.0,5.0,10.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,5.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,5.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,5.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,5.0,10.0
7,0.967018421875,0.967018421875,48360,0.0,1640.0,0.9672,50,0,0,1.0,892.0,0.84,805.4516129032259,50,1,imm3,rnr,1,50,15.0,5.0,10.0
8,0.98946223046875,0.98946223046875,49474,0.0,526.0,0.98948,50,0,0,1.0,928.08,0.92,891.8571428571429,50,1,imm3,rnr,1,50,15.0,5.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,5.0,10.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,10.0,30.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,30.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,40.0,10.0,30.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,30.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,30.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,30.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,10.0,30.0
7,0.9848715673828125,0.9848715673828125,49250,0.0,750.0,0.985,50,0,0,1.0,873.72,0.84,780.25,50,1,imm3,rnr,1,50,40.0,10.0,30.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,30.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,10.0,30.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,10.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,40.0,10.0,90.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,40.0,10.0,90.0
7,0.9768302734375,0.9768302734375,48848,0.0,1152.0,0.97696,50,0,0,1.0,892.0,0.84,805.4516129032259,50,1,imm3,rnr,1,50,40.0,10.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,40.0,10.0,90.0
9,0.981765171875,0.981765171875,49096,0.0,904.0,0.98192,50,0,0,1.0,980.72,0.96,960.5384615384615,50,1,imm3,rnr,1,50,40.0,10.0,90.0
0,0.9958851728515625,0.9958851728515625,49796,0.0,204.0,0.99592,50,0,0,1.0,994.84,0.96,960.5384615384615,50,1,imm3,rnr,1,50,15.0,15.0,30.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,30.0
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,30.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,30.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,30.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,30.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,30.0
7,0.9796465546875,0.9796465546875,48988,0.0,1012.0,0.97976,50,0,0,1.0,910.04,0.88,861.0689655172414,50,1,imm3,rnr,1,50,15.0,15.0,30.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm3,rnr,1,50,15.0,15.0,30.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,50,15.0,15.0,30.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,90,90.0,15.0,30.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm3,rnr,1,90,90.0,15.0,30.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm3,rnr,1,90,90.0,15.0,30.0
3,0.9995764959411622,0.9995764959411622,49982,0.0,18.0,0.99964,50,0,0,1.0,944.48,0.92,891.8571428571429,50,1,imm3,rnr,1,90,90.0,15.0,30.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm3,rnr,1,90,90.0,15.0,30.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm3,rnr,1,90,90.0,15.0,30.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm3,rnr,1,90,90.0,15.0,30.0
